"Date","Time","Group","Latitude","Longitude","Altitude","Forest Type","Hole Diameter"
"29/06/2015","3:46:40 PM","red group 1",-25.57480964,153.07379479,172.5,"Medium Open",30
"29/06/2015","3:47:14 PM","red group 1",-25.57480331,153.07378565,174.699996948242,"Medium Open",23
"29/06/2015","3:47:33 PM","red group 1",-25.57480295,153.07378645,174.600006103516,"Medium Open",30
"29/06/2015","3:47:52 PM","red group 1",-25.57480295,153.0737864,174.600006103516,"Medium Open",10
"29/06/2015","3:51:03 PM","red group 1",-25.57481993,153.07379881,174.100006103516,"Medium Open",25
"29/06/2015","3:51:22 PM","red group 1",-25.57482063,153.07380325,173.699996948242,"Medium Open",24
"29/06/2015","3:52:05 PM","red group 1",-25.57482898,153.07380503,172.399993896484,"Medium Open",29
"29/06/2015","3:53:39 PM","red group 1",-25.57518494,153.07380277,168.5,"Medium Open",10
"29/06/2015","3:53:49 PM","red group 1",-25.57518532,153.07380228,168.5,"Medium Open",28
"29/06/2015","3:54:06 PM","red group 1",-25.57518596,153.07380202,168.5,"Medium Open",18
"29/06/2015","3:57:20 PM","red group 1",-25.57572582,153.0736717,166.699996948242,"Medium Open",25
"29/06/2015","3:58:17 PM","red group 1",-25.57572862,153.07367243,167,"Medium Open",35
"29/06/2015","3:59:47 PM","red group 1",-25.57599534,153.07362257,162.199996948242,"Medium Open",26
"29/06/2015","4:00:07 PM","red group 1",-25.57599929,153.07362508,162.300003051758,"Medium Open",15
