"Date","Time","Group","Distance along tape","Zone","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Ratio active burrows","Ratio >2cm across burrows","Number of trees","Number of ground plants","Living ground cover","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla","Week"
"27/06/2015","9:02:54 AM","hannahkat",0,"0-20m",153.09594386,-25.5961482,"Upslope",0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:09:35 AM","hannahkat",5,"0-20m",153.09588688,-25.5961286,"Upslope",0,0,0,0,NA,NA,0,1,0.09,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:15:07 AM","hannahkat",10,"0-20m",153.0958444,-25.59614104,"Crest",0.005,0,0,0,NA,NA,0,1,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:20:17 AM","hannahkat",15,"0-20m",153.09578431,-25.59612971,"Trough",0.02,3,1,1,0.75,0.25,0,1,0.17,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:24:22 AM","hannahkat",20,"0-20m",153.09575025,-25.59610614,"Upslope",0.02,0,1,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:29:45 AM","hannahkat",25,"20-40m",153.09571894,-25.59608085,"Upslope",0.03,0,0,0,NA,NA,0,2,0.13,0.03,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:33:29 AM","hannahkat",30,"20-40m",153.09564908,-25.59611508,"Crest",0.35,1,1,1,0.5,0.5,0,2,0.1,0,0,0.01,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:37:08 AM","hannahkat",35,"20-40m",153.09560336,-25.59608924,"Downslope",0.18,0,1,0,0,0,0,2,0.22,0.15,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:45:21 AM","hannahkat",40,"20-40m",153.09555246,-25.59611114,"Upslope",0.87,1,1,1,0.5,0.5,0,3,0.2,0.02,0,0,0,0,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:50:55 AM","hannahkat",45,"40-60m",153.09550245,-25.59611307,"Crest",0.58,0,1,0,0,0,0,2,0.35,0,0,0,0,0,0.27,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","9:54:52 AM","hannahkat",50,"40-60m",153.09546727,-25.59607642,"Downslope",0.55,0,2,0,0,0,0,1,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","10:01:24 AM","hannahkat",55,"40-60m",153.09541887,-25.59610871,"Downslope",0.19,0,0,0,NA,NA,0,3,1.07,0,0,0,0,0,0.96,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","10:05:27 AM","hannahkat",60,"40-60m",153.09537578,-25.59606648,"Trough",0.21,0,0,0,NA,NA,0,3,0.55,0,0,0,0,0,0.4,0,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","10:13:17 AM","hannahkat",65,"60-80m",153.09532422,-25.59603303,"Trough",0.56,1,0,1,1,1,1,2,0.27,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Week 1"
"27/06/2015","10:17:12 AM","hannahkat",70,"60-80m",153.09528772,-25.59603121,"Upslope",0.16,1,0,1,1,1,0,4,0.65,0.08,0,0,0,0,0,0,0.11,0,0,0,0,0.15,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Week 1"
