"Date","Time","Latitude","Longitude","Group name","Quadrat Size","Acacia flavescens","Acacia leiocalyx","Acronychia imperforata","Allocasaurina littoralis","Angophora leiocarpa","Astrotricha longifolia","Alphitonia excelsa","Austromyrtus dulcis","Banksia integrifolia subsp. integrifolia","Banksia oblongifolia","Banksia serrata","Boronia rosmarinifolia","Callitris Pine","Carpobrotus glaucescens","Casuarina equisetifolia","Casuarina glauca","Commelina diffusa","Cyclophyllum coprosmoides","Dianella caerulea","Endiandra sieberi","Eucalyptus melanoleuca","Eucalyptus pilularis","Helichrysum oxylepis subsp. Fraser Is","Hibbertia linearis","Hibbertia scandens","Hydrocotyle bonariensis","Leptospermum sp","Leucopogan ericoides","Lomandra confertifolia","Lomandra multiflora","Lomandra obliqua","Lophostemon confertus","Macrozamia douglasii","Monotoca sp. Fraser Island","Ozothamnus sp.","Platysace lanceolata","Pteridium esculentum","Passiflora sp.","Ricinocarpos pinifolius","Schizaea bifida","Xanthorrhoea sp.","Xylomelum salicinum","unknown sp1","unknown sp2","unknown sp3","unknown sp4","unknown sp5","unknown sp6","unknown sp7","unknown sp8"
"29/06/2015","10:24:18 AM","","","Red Veg","1x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","True","","","True","","","","","","","","","","","","","","","",""
"29/06/2015","10:25:29 AM","","","Red Veg","2x1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/06/2015","10:32:44 AM","","","Red Veg","2x2","","","","","","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","True","True","","","","","",""
"29/06/2015","10:38:01 AM","","","Red Veg","4x2","","","","","","","","","","","True","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","",""
"29/06/2015","10:39:41 AM","","","Red Veg","4x4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29/06/2015","10:49:51 AM","","","Red Veg","8x4","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","","","True","","","","","","","","",""
"29/06/2015","10:55:35 AM","","","Red Veg","8x8","","","","","","","","","","","","","","","","","","","","True","","","","True","","","","","","","","","","","","","True","","","","","","","","True","","","","",""
"29/06/2015","11:11:37 AM","","","Red Veg","16x8","","","","","","","","True","","","","","","","","True","","","","","","","","","","","","","","","","","True","","","","","","","","","","","","","","","","",""
"29/06/2015","11:20:26 AM","","","Red Veg","16x16","True","","","","","","","","","","","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","True","","","",""
"29/06/2015","11:20:37 AM","-25.57551697","153.07381613","Red Veg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
